Word: ' Inspired' | Start: 0.00s | End: 2.16s
Word: ' by' | Start: 2.16s | End: 2.36s
Word: ' Roll4Sandwich' | Start: 2.36s | End: 3.38s
Word: ' from' | Start: 3.38s | End: 3.62s
Word: ' Adventures' | Start: 3.62s | End: 4.08s
Word: ' in' | Start: 4.08s | End: 4.44s
Word: ' Ardia,' | Start: 4.44s | End: 4.96s
Word: ' today' | Start: 4.96s | End: 5.24s
Word: ' I'm' | Start: 5.24s | End: 5.90s
Word: ' going' | Start: 5.90s | End: 6.08s
Word: ' to' | Start: 6.08s | End: 6.20s
Word: ' be' | Start: 6.20s | End: 6.32s
Word: ' building' | Start: 6.32s | End: 6.62s
Word: ' a' | Start: 6.62s | End: 6.82s
Word: ' PC' | Start: 6.82s | End: 7.24s
Word: ' with' | Start: 7.24s | End: 7.88s
Word: ' absolutely' | Start: 7.88s | End: 8.64s
Word: ' no' | Start: 8.64s | End: 9.50s
Word: ' idea' | Start: 9.50s | End: 10.30s
Word: ' what' | Start: 10.30s | End: 11.04s
Word: ' parts' | Start: 11.04s | End: 11.50s
Word: ' are' | Start: 11.50s | End: 11.74s
Word: ' going' | Start: 11.74s | End: 12.02s
Word: ' inside.' | Start: 12.02s | End: 12.68s
Word: ' The' | Start: 12.72s | End: 12.82s
Word: ' dice' | Start: 12.82s | End: 13.30s
Word: ' will' | Start: 13.30s | End: 14.02s
Word: ' do' | Start: 14.02s | End: 14.24s
Word: ' all' | Start: 14.24s | End: 14.54s
Word: ' the' | Start: 14.54s | End: 14.80s
Word: ' deciding' | Start: 14.80s | End: 15.30s
Word: ' for' | Start: 15.30s | End: 15.66s
Word: ' me,' | Start: 15.66s | End: 16.02s
Word: ' but' | Start: 16.02s | End: 16.50s
Word: ' there' | Start: 16.50s | End: 17.12s
Word: ' is' | Start: 17.12s | End: 17.50s
Word: ' a' | Start: 17.50s | End: 17.76s
Word: ' catch.' | Start: 17.76s | End: 18.56s
Word: ' Whatever' | Start: 18.94s | End: 19.34s
Word: ' PC' | Start: 19.34s | End: 19.98s
Word: ' I' | Start: 19.98s | End: 20.44s
Word: ' end' | Start: 20.44s | End: 20.86s
Word: ' up' | Start: 20.86s | End: 21.20s
Word: ' building,' | Start: 21.20s | End: 22.02s
Word: ' I' | Start: 22.02s | End: 22.48s
Word: ' will' | Start: 22.48s | End: 22.76s
Word: ' sell' | Start: 22.76s | End: 23.24s
Word: ' to' | Start: 23.24s | End: 23.62s
Word: ' one' | Start: 23.62s | End: 23.86s
Word: ' of' | Start: 23.86s | End: 24.04s
Word: ' you' | Start: 24.04s | End: 24.30s
Word: ' for' | Start: 24.30s | End: 25.20s
Word: ' one' | Start: 25.20s | End: 25.68s
Word: ' dollar.' | Start: 25.68s | End: 26.98s
Word: ' There' | Start: 26.80s | End: 27.76s
Word: ' are' | Start: 27.76s | End: 27.98s
Word: ' a' | Start: 27.98s | End: 28.18s
Word: ' couple' | Start: 28.18s | End: 28.38s
Word: ' of' | Start: 28.38s | End: 28.54s
Word: ' ways' | Start: 28.54s | End: 28.76s
Word: ' that' | Start: 28.76s | End: 28.96s
Word: ' I' | Start: 28.96s | End: 29.08s
Word: ' can' | Start: 29.08s | End: 29.28s
Word: ' tilt' | Start: 29.28s | End: 29.54s
Word: ' the' | Start: 29.54s | End: 29.72s
Word: ' scales' | Start: 29.72s | End: 30.06s
Word: ' in' | Start: 30.06s | End: 30.44s
Word: ' my' | Start: 30.44s | End: 30.80s
Word: ' favor.' | Start: 30.80s | End: 31.50s
Word: ' First,' | Start: 31.72s | End: 32.22s
Word: ' I' | Start: 32.22s | End: 32.58s
Word: ' can' | Start: 32.58s | End: 32.76s
Word: ' take' | Start: 32.76s | End: 32.98s
Word: ' an' | Start: 32.98s | End: 33.14s
Word: ' advantage,' | Start: 33.14s | End: 33.66s
Word: ' which' | Start: 33.66s | End: 34.52s
Word: ' means' | Start: 34.52s | End: 34.72s
Word: ' I' | Start: 34.72s | End: 34.86s
Word: ' get' | Start: 34.86s | End: 34.98s
Word: ' to' | Start: 34.98s | End: 35.14s
Word: ' roll' | Start: 35.14s | End: 35.34s
Word: ' two' | Start: 35.34s | End: 35.60s
Word: ' dice' | Start: 35.60s | End: 35.92s
Word: ' and' | Start: 35.92s | End: 36.30s
Word: ' take' | Start: 36.30s | End: 36.50s
Word: ' the' | Start: 36.50s | End: 36.68s
Word: ' more' | Start: 36.68s | End: 36.86s
Word: ' favorable' | Start: 36.86s | End: 37.24s
Word: ' outcome.' | Start: 37.24s | End: 37.80s
Word: ' But' | Start: 38.18s | End: 38.32s
Word: ' that' | Start: 38.32s | End: 38.54s
Word: ' will' | Start: 38.54s | End: 38.72s
Word: ' cost' | Start: 38.72s | End: 39.06s
Word: ' me' | Start: 39.06s | End: 39.38s
Word: ' one' | Start: 39.38s | End: 40.76s
Word: ' heaping' | Start: 40.76s | End: 41.56s
Word: ' tablespoon' | Start: 41.56s | End: 42.06s
Word: ' of' | Start: 42.06s | End: 42.92s
Word: ' Cheez' | Start: 42.92s | End: 43.36s
Word: ' Whiz.' | Start: 43.36s | End: 44.08s
Word: ' Second,' | Start: 45.44s | End: 46.12s
Word: ' I' | Start: 46.12s | End: 46.70s
Word: ' am' | Start: 46.70s | End: 46.88s
Word: ' allowed' | Start: 46.88s | End: 47.32s
Word: ' one' | Start: 47.32s | End: 48.12s
Word: ' re' | Start: 48.12s | End: 48.70s
Word: '-roll,' | Start: 48.70s | End: 49.22s
Word: ' but' | Start: 49.22s | End: 50.04s
Word: ' that' | Start: 50.04s | End: 50.26s
Word: ' will' | Start: 50.26s | End: 50.44s
Word: ' cost' | Start: 50.44s | End: 50.80s
Word: ' me' | Start: 50.80s | End: 51.10s
Word: ' a' | Start: 51.10s | End: 51.68s
Word: ' spoonful' | Start: 51.68s | End: 52.26s
Word: ' of' | Start: 52.26s | End: 53.28s
Word: ' really' | Start: 53.28s | End: 54.56s
Word: ' terrifying' | Start: 54.56s | End: 55.28s
Word: ' hot' | Start: 55.28s | End: 56.18s
Word: ' sauce.' | Start: 56.18s | End: 56.78s
Word: ' I' | Start: 56.80s | End: 57.58s
Word: ' really' | Start: 57.58s | End: 57.82s
Word: ' don't' | Start: 57.82s | End: 58.12s
Word: ' know' | Start: 58.12s | End: 58.34s
Word: ' if' | Start: 58.34s | End: 58.80s
Word: ' I' | Start: 58.80s | End: 58.90s
Word: ' want' | Start: 58.90s | End: 59.08s
Word: ' to' | Start: 59.08s | End: 59.18s
Word: ' take' | Start: 59.18s | End: 59.40s
Word: ' that' | Start: 59.40s | End: 59.60s
Word: ' path.' | Start: 59.60s | End: 60.18s
Word: ' I' | Start: 60.92s | End: 61.02s
Word: ' might' | Start: 61.02s | End: 61.20s
Word: ' feel' | Start: 61.20s | End: 61.40s
Word: ' like' | Start: 61.40s | End: 61.62s
Word: ' I' | Start: 61.62s | End: 61.76s
Word: ' have' | Start: 61.76s | End: 61.98s
Word: ' to,' | Start: 61.98s | End: 62.28s
Word: ' though,' | Start: 62.28s | End: 62.52s
Word: ' because' | Start: 62.78s | End: 62.92s
Word: ' while' | Start: 62.92s | End: 63.16s
Word: ' the' | Start: 63.16s | End: 63.36s
Word: ' best' | Start: 63.36s | End: 63.76s
Word: ' case' | Start: 63.76s | End: 63.98s
Word: ' scenario' | Start: 63.98s | End: 64.52s
Word: ' for' | Start: 64.52s | End: 64.90s
Word: ' me' | Start: 64.90s | End: 65.20s
Word: ' is' | Start: 65.20s | End: 65.70s
Word: ' about' | Start: 65.70s | End: 66.08s
Word: ' $370' | Start: 66.08s | End: 68.02s
Word: ' all' | Start: 68.02s | End: 68.96s
Word: ' in' | Start: 68.96s | End: 69.26s
Word: ' on' | Start: 69.26s | End: 69.40s
Word: ' the' | Start: 69.40s | End: 69.50s
Word: ' PC,' | Start: 69.50s | End: 70.08s
Word: ' the' | Start: 70.54s | End: 70.68s
Word: ' worst' | Start: 70.68s | End: 70.98s
Word: ' case' | Start: 70.98s | End: 71.22s
Word: ' scenario' | Start: 71.22s | End: 71.64s
Word: ' for' | Start: 71.64s | End: 71.94s
Word: ' me' | Start: 71.94s | End: 72.14s
Word: ' is,' | Start: 72.14s | End: 72.60s
Word: ' according' | Start: 72.60s | End: 72.98s
Word: ' to' | Start: 72.98s | End: 73.22s
Word: ' Alex,' | Start: 73.22s | End: 73.70s
Word: ' who' | Start: 73.70s | End: 73.92s
Word: ' set' | Start: 73.92s | End: 74.16s
Word: ' up' | Start: 74.16s | End: 74.32s
Word: ' this' | Start: 74.32s | End: 74.68s
Word: ' nightmare...' | Start: 74.68s | End: 75.84s
Word: ' Oh,' | Start: 76.30s | End: 76.54s
Word: ' what' | Start: 76.54s | End: 76.68s
Word: ' do' | Start: 76.68s | End: 76.78s
Word: ' you' | Start: 76.78s | End: 76.82s
Word: ' think?' | Start: 76.82s | End: 77.14s
Word: ' What' | Start: 77.14s | End: 77.28s
Word: ' do' | Start: 77.28s | End: 77.36s
Word: ' you' | Start: 77.36s | End: 77.44s
Word: ' think?' | Start: 77.44s | End: 77.82s
Word: ' Do' | Start: 77.82s | End: 78.06s
Word: ' you' | Start: 78.06s | End: 78.14s
Word: ' want' | Start: 78.14s | End: 78.22s
Word: ' to' | Start: 78.22s | End: 78.28s
Word: ' know?' | Start: 78.28s | End: 78.62s
Word: ' One' | Start: 79.04s | End: 79.24s
Word: ' guess.' | Start: 79.24s | End: 79.68s
Word: ' One' | Start: 79.68s | End: 79.80s
Word: ' guess.' | Start: 79.80s | End: 80.28s
Word: ' $5' | Start: 80.98s | End: 81.26s
Word: ',000.' | Start: 81.26s | End: 82.10s
Word: ' $16' | Start: 82.68s | End: 83.16s
Word: ',795.' | Start: 83.16s | End: 85.22s
Word: ' $16' | Start: 85.16s | End: 86.16s
Word: ',000?' | Start: 86.16s | End: 87.24s
Word: ' That's' | Start: 87.32s | End: 87.48s
Word: ' more' | Start: 87.48s | End: 87.58s
Word: ' like' | Start: 87.58s | End: 87.72s
Word: ' $17' | Start: 87.72s | End: 88.08s
Word: ',000.' | Start: 88.08s | End: 88.74s
Word: ' $16' | Start: 89.14s | End: 89.44s
Word: ',000!' | Start: 89.44s | End: 90.58s
Word: ' $16' | Start: 90.90s | End: 91.22s
Word: ',79.' | Start: 91.22s | End: 92.22s
Word: ' You' | Start: 92.72s | End: 92.84s
Word: ' couldn't' | Start: 92.84s | End: 93.14s
Word: ' even' | Start: 93.14s | End: 93.42s
Word: ' spend' | Start: 93.42s | End: 93.88s
Word: ' $16' | Start: 93.88s | End: 94.42s
Word: ',000' | Start: 94.42s | End: 94.92s
Word: ' with' | Start: 94.92s | End: 95.80s
Word: ' our' | Start: 95.80s | End: 96.04s
Word: ' sponsor,' | Start: 96.04s | End: 96.92s
Word: ' Build' | Start: 96.92s | End: 97.14s
Word: ' Redux.' | Start: 97.14s | End: 97.96s
Word: ' Build' | Start: 99.26s | End: 100.08s
Word: ' Redux' | Start: 100.08s | End: 100.52s
Word: ' makes' | Start: 100.52s | End: 100.72s
Word: ' it' | Start: 100.72s | End: 100.90s
Word: ' easy' | Start: 100.90s | End: 101.22s
Word: ' to' | Start: 101.22s | End: 101.40s
Word: ' configure' | Start: 101.40s | End: 101.82s
Word: ' your' | Start: 101.82s | End: 102.04s
Word: ' new' | Start: 102.04s | End: 102.18s
Word: ' build' | Start: 102.18s | End: 102.48s
Word: ' with' | Start: 102.48s | End: 102.88s
Word: ' support' | Start: 102.88s | End: 103.20s
Word: ' guides' | Start: 103.20s | End: 103.46s
Word: ' and' | Start: 103.46s | End: 103.86s
Word: ' competitive' | Start: 103.86s | End: 104.40s
Word: ' pricing' | Start: 104.40s | End: 104.84s
Word: ' compared' | Start: 104.84s | End: 105.16s
Word: ' to' | Start: 105.16s | End: 105.32s
Word: ' building' | Start: 105.32s | End: 105.54s
Word: ' a' | Start: 105.54s | End: 105.68s
Word: ' PC' | Start: 105.68s | End: 105.94s
Word: ' yourself.' | Start: 105.94s | End: 106.56s
Word: ' Head' | Start: 106.70s | End: 106.82s
Word: ' to' | Start: 106.82s | End: 106.94s
Word: ' buildredux' | Start: 106.94s | End: 107.44s
Word: '.com' | Start: 107.44s | End: 107.84s
Word: ' slash' | Start: 107.84s | End: 108.06s
Word: ' Linus' | Start: 108.06s | End: 108.64s
Word: ' to' | Start: 108.64s | End: 109.02s
Word: ' start' | Start: 109.02s | End: 109.24s
Word: ' your' | Start: 109.24s | End: 109.42s
Word: ' new' | Start: 109.42s | End: 109.56s
Word: ' build' | Start: 109.56s | End: 109.92s
Word: ' today.' | Start: 109.92s | End: 110.68s
Word: ' Let's' | Start: 111.18s | End: 111.56s
Word: ' kick' | Start: 111.56s | End: 111.72s
Word: ' things' | Start: 111.72s | End: 112.06s
Word: ' off' | Start: 112.06s | End: 112.32s
Word: ' by' | Start: 112.32s | End: 112.56s
Word: ' having' | Start: 112.56s | End: 112.82s
Word: ' a' | Start: 112.82s | End: 113.02s
Word: ' quick' | Start: 113.02s | End: 113.28s
Word: ' look' | Start: 113.28s | End: 113.58s
Word: ' at' | Start: 113.58s | End: 114.10s
Word: ' some' | Start: 114.10s | End: 114.58s
Word: ' of' | Start: 114.58s | End: 114.98s
Word: ' the' | Start: 114.98s | End: 115.32s
Word: ' options' | Start: 115.32s | End: 115.94s
Word: ' for' | Start: 115.94s | End: 116.32s
Word: ' what' | Start: 116.32s | End: 116.54s
Word: ' could' | Start: 116.54s | End: 116.72s
Word: ' go' | Start: 116.72s | End: 116.88s
Word: ' into' | Start: 116.88s | End: 117.08s
Word: ' our' | Start: 117.08s | End: 117.24s
Word: ' machine.' | Start: 117.24s | End: 117.68s
Word: ' Let's' | Start: 117.68s | End: 117.82s
Word: ' head' | Start: 117.82s | End: 117.92s
Word: ' over' | Start: 117.92s | End: 118.10s
Word: ' to' | Start: 118.10s | End: 118.22s
Word: ' Andrew' | Start: 118.22s | End: 118.60s
Word: ' here.' | Start: 118.60s | End: 118.98s
Word: ' For' | Start: 119.26s | End: 119.34s
Word: ' power' | Start: 119.34s | End: 119.60s
Word: ' supplies,' | Start: 119.60s | End: 120.30s
Word: ' we've' | Start: 120.30s | End: 120.68s
Word: ' got' | Start: 120.68s | End: 120.82s
Word: ' everything' | Start: 120.82s | End: 121.16s
Word: ' from' | Start: 121.16s | End: 121.58s
Word: ' this' | Start: 121.58s | End: 121.92s
Word: ' Antec' | Start: 121.92s | End: 122.96s
Word: ' Neo' | Start: 122.96s | End: 123.36s
Word: ' Eco' | Start: 123.36s | End: 123.80s
Word: ' that' | Start: 123.80s | End: 124.06s
Word: ' I'm' | Start: 124.06s | End: 124.26s
Word: ' fairly' | Start: 124.26s | End: 124.58s
Word: ' sure' | Start: 124.58s | End: 124.80s
Word: ' was' | Start: 124.80s | End: 125.02s
Word: ' obtained' | Start: 125.02s | End: 125.32s
Word: ' during' | Start: 125.32s | End: 125.64s
Word: ' Scrapyard' | Start: 125.64s | End: 126.32s
Word: ' Wars' | Start: 126.32s | End: 126.58s
Word: ' at' | Start: 126.58s | End: 126.78s
Word: ' some' | Start: 126.78s | End: 127.00s
Word: ' point.' | Start: 127.00s | End: 127.54s
Word: ' Approximate' | Start: 127.92s | End: 128.38s
Word: ' value' | Start: 128.38s | End: 128.84s
Word: ' $8.' | Start: 128.84s | End: 129.54s
Word: ' All' | Start: 130.18s | End: 130.36s
Word: ' the' | Start: 130.36s | End: 130.52s
Word: ' way' | Start: 130.52s | End: 130.64s
Word: ' up' | Start: 130.64s | End: 130.80s
Word: ' to' | Start: 130.80s | End: 130.94s
Word: ' this' | Start: 130.94s | End: 131.14s
Word: ' Seasonic' | Start: 131.14s | End: 131.80s
Word: ' Prime' | Start: 131.80s | End: 132.20s
Word: ' TX' | Start: 132.20s | End: 132.74s
Word: ' 1600,' | Start: 132.74s | End: 133.90s
Word: ' a' | Start: 133.90s | End: 134.18s
