Word: ' bar' | Start: 0.04s | End: 0.34s
Word: ' crawl' | Start: 0.34s | End: 0.84s
Word: ' across' | Start: 0.84s | End: 1.32s
Word: ' their' | Start: 1.32s | End: 1.72s
Word: ' screen.' | Start: 1.72s | End: 2.30s
Word: ' And' | Start: 2.62s | End: 2.94s
Word: ' thanks' | Start: 2.94s | End: 3.52s
Word: ' to' | Start: 3.52s | End: 3.70s
Word: ' their' | Start: 3.70s | End: 3.88s
Word: ' dated' | Start: 3.88s | End: 4.16s
Word: ' workstations,' | Start: 4.16s | End: 5.04s
Word: ' our' | Start: 5.34s | End: 5.56s
Word: ' poor' | Start: 5.56s | End: 5.86s
Word: ' editors' | Start: 5.86s | End: 6.34s
Word: ' have' | Start: 6.34s | End: 7.02s
Word: ' been' | Start: 7.02s | End: 7.18s
Word: ' watching' | Start: 7.18s | End: 7.54s
Word: ' a' | Start: 7.54s | End: 7.98s
Word: ' lot' | Start: 7.98s | End: 8.46s
Word: ' of' | Start: 8.46s | End: 8.92s
Word: ' slow' | Start: 8.92s | End: 9.24s
Word: ' progress' | Start: 9.24s | End: 9.68s
Word: ' bars.' | Start: 9.68s | End: 10.26s
Word: ' The' | Start: 11.04s | End: 11.20s
Word: ' only' | Start: 11.20s | End: 11.36s
Word: ' reasonable' | Start: 11.36s | End: 11.74s
Word: ' thing' | Start: 11.74s | End: 11.94s
Word: ' to' | Start: 11.94s | End: 12.08s
Word: ' do' | Start: 12.08s | End: 12.20s
Word: ' then' | Start: 12.20s | End: 12.40s
Word: ' is' | Start: 12.40s | End: 12.80s
Word: ' build' | Start: 12.80s | End: 13.08s
Word: ' them' | Start: 13.08s | End: 13.32s
Word: ' new' | Start: 13.32s | End: 13.66s
Word: ' ones.' | Start: 13.66s | End: 14.24s
Word: ' But' | Start: 14.24s | End: 14.44s
Word: ' the' | Start: 14.44s | End: 15.04s
Word: ' PC' | Start: 15.04s | End: 15.34s
Word: ' landscape' | Start: 15.34s | End: 15.76s
Word: ' has' | Start: 15.76s | End: 16.26s
Word: ' changed' | Start: 16.26s | End: 16.76s
Word: ' a' | Start: 16.76s | End: 17.12s
Word: ' lot' | Start: 17.12s | End: 17.70s
Word: ' since' | Start: 17.70s | End: 18.28s
Word: ' 2021' | Start: 18.28s | End: 19.00s
Word: ' when' | Start: 19.02s | End: 19.76s
Word: ' we' | Start: 19.76s | End: 19.94s
Word: ' made' | Start: 19.94s | End: 20.20s
Word: ' our' | Start: 20.20s | End: 20.48s
Word: ' last' | Start: 20.48s | End: 21.04s
Word: ' big' | Start: 21.04s | End: 21.58s
Word: ' improvements' | Start: 21.58s | End: 22.14s
Word: ' to' | Start: 22.14s | End: 22.36s
Word: ' our' | Start: 22.36s | End: 22.52s
Word: ' editing' | Start: 22.52s | End: 22.80s
Word: ' stations.' | Start: 22.80s | End: 23.38s
Word: ' So' | Start: 23.64s | End: 23.86s
Word: ' we' | Start: 23.86s | End: 24.54s
Word: ' are' | Start: 24.54s | End: 24.66s
Word: ' teaming' | Start: 24.66s | End: 24.96s
Word: ' up' | Start: 24.96s | End: 25.08s
Word: ' with' | Start: 25.08s | End: 25.28s
Word: ' Asus' | Start: 25.28s | End: 25.78s
Word: ' who' | Start: 25.78s | End: 26.02s
Word: ' sponsored' | Start: 26.02s | End: 26.46s
Word: ' this' | Start: 26.46s | End: 26.72s
Word: ' stream' | Start: 26.72s | End: 27.00s
Word: ' and' | Start: 27.32s | End: 27.52s
Word: ' sent' | Start: 27.52s | End: 27.78s
Word: ' over' | Start: 27.78s | End: 28.00s
Word: ' some' | Start: 28.00s | End: 28.26s
Word: ' awesome' | Start: 28.26s | End: 28.88s
Word: ' parts' | Start: 28.88s | End: 29.24s
Word: ' to' | Start: 29.24s | End: 29.44s
Word: ' try.' | Start: 29.44s | End: 29.76s
Word: ' I' | Start: 29.70s | End: 29.76s
Word: ' like' | Start: 29.76s | End: 30.18s
Word: ' the' | Start: 30.18s | End: 30.62s
Word: ' AMD' | Start: 30.62s | End: 31.14s
Word: ' Ryzen' | Start: 31.14s | End: 31.78s
Word: ' 7' | Start: 31.78s | End: 32.10s
Word: ' 9800X3D,' | Start: 32.10s | End: 34.02s
Word: ' which' | Start: 34.24s | End: 34.54s
Word: ' we' | Start: 34.54s | End: 35.24s
Word: ' are' | Start: 35.24s | End: 35.52s
Word: ' not' | Start: 35.52s | End: 36.08s
Word: ' going' | Start: 36.08s | End: 36.60s
Word: ' to' | Start: 36.60s | End: 36.84s
Word: ' use.' | Start: 36.84s | End: 37.34s
Word: ' Did' | Start: 44.30s | End: 44.48s
Word: ' you' | Start: 44.48s | End: 44.58s
Word: ' roll' | Start: 44.58s | End: 44.76s
Word: ' the' | Start: 44.76s | End: 44.88s
Word: ' thing?' | Start: 44.88s | End: 45.24s
Word: ' Yeah.' | Start: 45.40s | End: 46.14s
Word: ' When' | Start: 46.38s | End: 46.82s
Word: ' do' | Start: 46.82s | End: 46.90s
Word: ' I' | Start: 46.90s | End: 47.00s
Word: ' come' | Start: 47.00s | End: 47.12s
Word: ' back?' | Start: 47.12s | End: 47.48s
Word: ' You're' | Start: 47.54s | End: 47.70s
Word: ' back.' | Start: 47.70s | End: 48.06s
